name,cuisine,address,latitude,longitude,amenity,source,area,rating,review_count,popularity,quality_score,weighted_score
Ayam Lodho Malang,Unknown,"Ayam Lodho Malang, Jalan Karya Timur 1, Malang 65122, East Java, Indonesia",-7.953006899757888,112.64052360378248,"['building', 'building.catering', 'catering', 'catering.restaurant']",geoapify,Kota Malang,4.6,1596,7.3758821482150125,0.9199999999999999,4.675976859430749
Sudi Mampir,Unknown,"Sudi Mampir, Jalan Kesatrian Dalam 32, Malang 65121, East Java, Indonesia",-7.978436099759394,112.64326169999998,"['catering', 'catering.cafe', 'internet_access', 'wheelchair', 'wheelchair.yes']",geoapify,Kota Malang,3.9,1045,6.952728644624869,0.78,4.102447635829557
Toko Oen,Unknown,"Toko Oen, Jalan Jenderal Basuki Rachmat 5, Malang 65119, East Java, Indonesia",-7.98070299975953,112.6302201,"['catering', 'catering.restaurant', 'catering.restaurant.western']",geoapify,Kota Malang,4.2,942,6.849066282633458,0.8400000000000001,4.291984998653343
Lafferie,Unknown,"Lafferie, Jalan Lembah Dieng 6, Malang 65115, East Java, Indonesia",-7.970398699758908,112.60322209999998,"['catering', 'catering.restaurant', 'vegan', 'vegan.only']",geoapify,Kota Malang,4.4,301,5.71042701737487,0.8800000000000001,4.207221046607698
D'chareso,Unknown,"D'chareso, Jalan Laksda Adi Sucipto 190, Malang 65126, East Java, Indonesia",-7.945269099757433,112.6508979,"['catering', 'catering.cafe', 'internet_access', 'internet_access.free']",geoapify,Kota Malang,4.5,889,6.7912214627261855,0.9,4.490566605906476
The Arbanat,Unknown,"The Arbanat, Jalan Terusan Dieng, Malang 65115, East Java, Indonesia",-7.972186599759022,112.60731279537916,"['building', 'building.catering', 'catering', 'catering.cafe']",geoapify,Kota Malang,4.4,1432,7.267525427828172,0.8800000000000001,4.514587570085172
Vegan Mie pPanjang,Unknown,"Vegan Mie pPanjang, Jalan Letnan Jenderal Sunandar Priyosudarmo 22-24, Malang 65122, East Java, Indonesia",-7.953830699757925,112.6456811,"['catering', 'catering.restaurant', 'vegan', 'vegan.only']",geoapify,Kota Malang,4.1,1006,6.914730892718563,0.82,4.234946994363998
Martabak Agung Resto,Unknown,"Martabak Agung Resto, Jalan Merdeka Timur 2F, Malang 65118, East Java, Indonesia",-7.98349039975969,112.6318818,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.2,1342,7.202661196523238,0.8400000000000001,4.361783566728421
Warung Mbah Riman Barokah,Unknown,"Warung Mbah Riman Barokah, Jalan Candi Trowulan 68, Malang 65125, East Java, Indonesia",-7.941335799757193,112.6377521,"['catering', 'catering.restaurant']",geoapify,Kota Malang,3.8,921,6.826545223556594,0.76,4.0075394096096355
Tipsy Lion Malang,Unknown,"Tipsy Lion Malang, Jalan Soekarno Hatta 18, Malang 65141, East Java, Indonesia",-7.944416999757374,112.61983119999998,"['catering', 'catering.cafe', 'internet_access', 'internet_access.for_customers']",geoapify,Kota Malang,4.0,1955,7.578656850594762,0.8,4.296003973260696
Pizza Hut Delivery Sawojajar,Unknown,"Pizza Hut Delivery, Jalan Danau Toba 1, Malang 65139, East Java, Indonesia",-7.981411399759573,112.6540448,"['catering', 'catering.restaurant', 'catering.restaurant.pizza']",geoapify,Kota Malang,3.7,1036,6.9440872082295275,0.74,3.9607418423839675
Ayam Benjos,Unknown,"Ayam Benjos, Jalan Danau Toba 12, Malang 65139, East Java, Indonesia",-7.979488699759456,112.659232,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.2,556,6.322565239927284,0.8400000000000001,4.188055282960711
